Description,Down-regulated SIV.Early ART During ART,Down-regulated SIV.Early ART Early ATI,Down-regulated SIV.Late ART Early ATI,Up-regulated SIV.Early ART During ART,Up-regulated SIV.Early ART Early ATI,Up-regulated SIV.Late ART Early ATI
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,1.0,1.0,1.0,1.0,0.0015430370234809,0.0152055486354628
REACTOME_CLEC7A_DECTIN_1_SIGNALING,1.0,1.0,1.0,6.458640933307799e-09,3.19068715361527e-08,1.92444157127149e-05
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.0042724403538613,0.0009398331457963,0.0089499296800151,1.0,1.0,1.0
REACTOME_COLLAGEN_CHAIN_TRIMERIZATION,0.0160311559409336,0.0025383533712141,0.0149627154373168,1.0,1.0,1.0
REACTOME_COLLAGEN_DEGRADATION,0.0007390973003092,0.0032932256462767,1.0,1.0,1.0,1.0
REACTOME_COLLAGEN_FORMATION,1.8492277314478095e-05,0.0002674125756792,0.0043012591348091,1.0,1.0,1.0
REACTOME_COMPLEMENT_CASCADE,0.0001652536786149,0.0064267972264913,0.0400009810636785,1.0,1.0,1.0
REACTOME_COMPLEX_I_BIOGENESIS,1.0,0.0017341189260082,0.0122252520296904,3.63363377587607e-10,1.1013464460596601e-07,0.038389685620605
REACTOME_CONSTITUTIVE_SIGNALING_BY_OVEREXPRESSED_ERBB2,1.0,1.0,1.0,1.0,1.0,0.038509046080808
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,1.0,1.0,1.0,1.0,1.0,0.0286247750737893
REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING,1.0,1.0,1.0,0.0284977380124714,0.0188742223058339,1.0
REACTOME_COPII_MEDIATED_VESICLE_TRANSPORT,1.0,1.0,1.0,1.6692793494821702e-08,3.42742444492911e-05,0.0001321608664768
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,1.0,1.0,1.0,0.0116892635244222,0.0205382600168575,0.038509046080808
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,0.025996630426578,1.0,1.0,1.0,1.0,1.0
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT,0.0378388178804438,1.0,1.0,0.0010090002664621,0.0019809522221773,9.88339419022139e-06
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,0.025190084371437,1.0,1.0,1.0,1.0,1.0
REACTOME_CRISTAE_FORMATION,1.0,1.0,1.0,4.72505323972541e-05,0.0005645786468285,1.0
REACTOME_CROSSLINKING_OF_COLLAGEN_FIBRILS,0.010849024578966,0.0428072057453079,1.0,1.0,1.0,1.0
